ParticipantID,fitted_a_mean,fitted_a_std,fitted_a_r_hat,fitted_t_mean,fitted_t_std,fitted_t_r_hat,fitted_d_p_mean,fitted_d_p_std,fitted_d_p_r_hat,fitted_d_x_mean,fitted_d_x_std,fitted_d_x_r_hat,fitted_d_ev_mean,fitted_d_ev_std,fitted_d_ev_r_hat
1,1.787,0.098,1.0,1.622,0.052,1.0,1.502,0.262,1.0,0.576,0.215,1.0,1.771,0.429,1.0
2,2.027,0.101,1.0,0.861,0.052,1.0,0.93,0.23,1.0,0.496,0.196,1.0,2.03,0.416,1.0
3,1.413,0.077,1.0,0.77,0.035,1.0,2.032,0.323,1.0,0.708,0.257,1.0,1.695,0.51,1.0
4,1.273,0.068,1.0,0.755,0.024,1.0,2.333,0.213,1.0,0.107,0.093,1.0,0.386,0.256,1.0
5,1.426,0.071,1.0,1.581,0.03,1.0,0.728,0.304,1.0,0.719,0.266,1.0,2.903,0.53,1.0
6,1.547,0.088,1.0,1.048,0.029,1.0,2.174,0.321,1.0,0.59,0.252,1.0,2.017,0.503,1.0
7,3.194,0.164,1.0,1.624,0.161,1.0,1.115,0.166,1.0,0.439,0.135,1.0,1.07,0.278,1.0
8,2.109,0.112,1.0,1.157,0.041,1.0,1.156,0.263,1.0,0.738,0.23,1.0,3.281,0.488,1.0
9,1.435,0.074,1.0,1.349,0.032,1.0,1.71,0.319,1.0,0.753,0.269,1.0,2.011,0.53,1.0
10,3.277,0.148,1.0,1.937,0.164,1.0,1.462,0.165,1.0,0.418,0.124,1.0,0.404,0.228,1.0
11,1.602,0.087,1.0,1.05,0.034,1.0,1.674,0.31,1.0,0.912,0.259,1.0,2.156,0.532,1.0
12,1.523,0.084,1.0,0.924,0.022,1.0,2.755,0.32,1.0,0.492,0.23,1.0,0.771,0.43,1.0
13,1.576,0.088,1.0,1.176,0.035,1.0,2.286,0.336,1.0,1.862,0.289,1.0,1.461,0.515,1.0
15,0.993,0.048,1.0,0.634,0.012,1.0,1.112,0.366,1.0,0.423,0.28,1.0,3.716,0.661,1.0
16,1.64,0.084,1.0,1.033,0.036,1.0,1.456,0.291,1.0,0.955,0.246,1.0,2.132,0.497,1.0
17,1.212,0.065,1.0,0.766,0.019,1.0,2.279,0.365,1.0,0.638,0.292,1.0,2.001,0.577,1.0
18,2.291,0.118,1.0,1.26,0.09,1.0,0.65,0.205,1.0,0.593,0.18,1.0,1.924,0.359,1.0
20,2.179,0.12,1.0,1.053,0.066,1.0,1.237,0.232,1.0,0.755,0.199,1.0,1.918,0.409,1.0
21,1.544,0.071,1.0,1.119,0.03,1.0,0.668,0.273,1.0,0.593,0.244,1.0,2.723,0.485,1.0
22,1.234,0.069,1.0,0.767,0.033,1.0,0.144,0.123,1.0,1.916,0.186,1.0,0.513,0.276,1.0
23,1.3,0.063,1.0,1.052,0.024,1.0,1.868,0.244,1.0,0.726,0.205,1.0,0.234,0.207,1.0
