Participant_ID,beta0_mean,beta0_sd,beta0_hdi_3%,beta0_hdi_97%,beta0_r_hat,beta1_mean,beta1_sd,beta1_hdi_3%,beta1_hdi_97%,beta1_r_hat,beta2_mean,beta2_sd,beta2_hdi_3%,beta2_hdi_97%,beta2_r_hat,sigma_mean,sigma_sd,sigma_hdi_3%,sigma_hdi_97%,sigma_r_hat
590df20e12802600017e1006,4.269,0.845,2.638,5.789,1.0,0.313,0.129,0.089,0.558,1.0,0.688,0.108,0.482,0.89,1.0,2.273,0.127,2.05,2.524,1.0
5ae33e48ed7f8b0001ca7bf8,4.676,0.569,3.588,5.693,1.0,0.26,0.098,0.078,0.439,1.0,0.133,0.065,0.019,0.249,1.0,2.182,0.125,1.952,2.422,1.0
5b1d557444127b00013fec9e,3.095,0.78,1.611,4.527,1.0,0.186,0.096,0.026,0.359,1.0,0.432,0.115,0.213,0.643,1.0,2.76,0.156,2.475,3.061,1.0
5b2bcfb51835660001cc6751,0.56,0.239,0.147,1.013,1.0,0.112,0.054,0.017,0.21,1.0,0.782,0.039,0.71,0.853,1.0,1.307,0.076,1.165,1.448,1.0
5bcedec641f0710001c74dd5,4.341,0.48,3.436,5.211,1.0,0.319,0.113,0.105,0.518,1.0,0.176,0.049,0.085,0.268,1.0,1.077,0.061,0.964,1.196,1.0
5bd0a57f446a8e0001204390,1.691,0.329,1.069,2.306,1.0,0.14,0.066,0.027,0.264,1.0,0.516,0.046,0.431,0.602,1.0,1.04,0.059,0.933,1.154,1.0
5be2fc5f0d71c80001ff4cb2,0.847,0.293,0.312,1.394,1.0,0.123,0.032,0.063,0.182,1.0,0.728,0.055,0.62,0.826,1.0,1.158,0.066,1.035,1.283,1.0
5c634aca9d0d7000012479a0,2.222,0.22,1.824,2.644,1.0,0.099,0.033,0.039,0.161,1.0,0.181,0.029,0.126,0.233,1.0,0.606,0.035,0.541,0.674,1.0
5c98db753df5fc0016e3baed,4.15,0.533,3.144,5.125,1.0,0.235,0.104,0.052,0.427,1.0,0.315,0.066,0.189,0.438,1.0,1.457,0.081,1.308,1.611,1.0
5cb4b413a17c7300154f8b60,7.085,0.679,5.838,8.399,1.0,0.277,0.069,0.146,0.403,1.0,0.518,0.119,0.304,0.753,1.0,2.128,0.12,1.902,2.35,1.0
5e1cf0eb65b6d3071f489de9,5.321,0.529,4.326,6.284,1.0,0.176,0.091,0.022,0.337,1.0,0.189,0.075,0.052,0.329,1.0,1.965,0.111,1.759,2.172,1.0
5e1f97bb97308b2cf7b254fb,1.429,0.51,0.439,2.334,1.0,0.388,0.162,0.1,0.683,1.0,0.874,0.063,0.757,0.994,1.0,1.491,0.085,1.34,1.655,1.0
5ffeaf4663b06e523dd92c22,3.088,0.582,1.977,4.155,1.0,0.191,0.097,0.028,0.368,1.0,0.262,0.081,0.113,0.419,1.0,1.968,0.112,1.761,2.18,1.0
62ebd3cd785939570957fe59,1.717,0.192,1.351,2.067,1.0,0.255,0.095,0.082,0.436,1.0,0.045,0.019,0.012,0.08,1.0,0.568,0.033,0.508,0.63,1.0
6340ae1dbc05980f88bc4a29,4.762,0.612,3.632,5.922,1.0,0.185,0.091,0.031,0.352,1.0,0.352,0.088,0.192,0.522,1.0,2.068,0.118,1.853,2.292,1.0
6547a4f91dc8dbde395fe617,3.816,0.401,3.068,4.567,1.0,0.216,0.098,0.047,0.4,1.0,0.195,0.05,0.101,0.289,1.0,1.096,0.062,0.986,1.216,1.0
6649d3063d417260fe8e3d7f,3.986,1.009,2.117,5.915,1.0,0.584,0.135,0.322,0.831,1.0,0.997,0.122,0.765,1.223,1.0,2.303,0.13,2.062,2.548,1.0
6658b161dc9f95822cbcf443,2.328,0.412,1.552,3.086,1.0,0.189,0.062,0.071,0.303,1.0,0.242,0.052,0.147,0.341,1.0,1.124,0.065,1.007,1.251,1.0
66cf306107ad4fcf4bef6f2f,2.599,0.723,1.233,3.943,1.0,0.22,0.113,0.036,0.433,1.0,0.716,0.112,0.501,0.921,1.0,2.6,0.147,2.319,2.869,1.0
66feee5066f9e3e110cac5d8,3.321,0.462,2.453,4.139,1.0,0.209,0.087,0.054,0.371,1.0,0.125,0.058,0.023,0.228,1.0,1.856,0.105,1.669,2.058,1.0
670a165e0ef22b0779d470dd,8.004,1.281,5.55,10.292,1.0,0.257,0.178,0.019,0.571,1.0,0.467,0.191,0.107,0.809,1.0,4.42,0.26,3.941,4.904,1.0
