Participant_ID,beta0_mean,beta0_sd,beta0_hdi_3%,beta0_hdi_97%,beta0_r_hat,beta1_mean,beta1_sd,beta1_hdi_3%,beta1_hdi_97%,beta1_r_hat,beta2_mean,beta2_sd,beta2_hdi_3%,beta2_hdi_97%,beta2_r_hat,sigma_mean,sigma_sd,sigma_hdi_3%,sigma_hdi_97%,sigma_r_hat
590df20e12802600017e1006,4.167,0.834,2.578,5.699,1.0,0.329,0.125,0.113,0.573,1.0,0.698,0.107,0.503,0.904,1.0,2.271,0.127,2.043,2.518,1.0
5ae33e48ed7f8b0001ca7bf8,4.549,0.565,3.515,5.592,1.0,0.278,0.096,0.101,0.456,1.0,0.147,0.066,0.031,0.267,1.0,2.183,0.124,1.947,2.413,1.0
5b1d557444127b00013fec9e,2.948,0.787,1.482,4.401,1.0,0.208,0.097,0.043,0.385,1.0,0.448,0.116,0.234,0.667,1.0,2.759,0.155,2.455,3.037,1.0
5b2bcfb51835660001cc6751,0.507,0.23,0.114,0.933,1.0,0.129,0.055,0.035,0.233,1.0,0.786,0.037,0.715,0.853,1.0,1.306,0.076,1.163,1.445,1.0
5bcedec641f0710001c74dd5,4.275,0.465,3.413,5.151,1.0,0.332,0.109,0.137,0.54,1.0,0.182,0.047,0.093,0.27,1.0,1.076,0.062,0.96,1.192,1.0
5bd0a57f446a8e0001204390,1.615,0.337,0.971,2.234,1.0,0.159,0.068,0.042,0.286,1.0,0.521,0.047,0.434,0.61,1.0,1.04,0.059,0.933,1.156,1.0
5be2fc5f0d71c80001ff4cb2,0.759,0.278,0.236,1.273,1.0,0.132,0.031,0.075,0.189,1.0,0.739,0.055,0.638,0.843,1.0,1.157,0.066,1.036,1.281,1.0
5c634aca9d0d7000012479a0,2.166,0.214,1.761,2.557,1.0,0.108,0.032,0.048,0.17,1.0,0.186,0.028,0.134,0.239,1.0,0.606,0.035,0.541,0.672,1.0
5c98db753df5fc0016e3baed,4.069,0.521,3.063,4.997,1.0,0.252,0.101,0.078,0.445,1.0,0.322,0.066,0.2,0.448,1.0,1.455,0.083,1.297,1.609,1.0
5cb4b413a17c7300154f8b60,7.036,0.653,5.766,8.216,1.0,0.282,0.067,0.16,0.41,1.0,0.523,0.115,0.303,0.736,1.0,2.124,0.119,1.905,2.353,1.0
5e1cf0eb65b6d3071f489de9,5.202,0.523,4.24,6.17,1.0,0.198,0.092,0.044,0.37,1.0,0.201,0.074,0.067,0.339,1.0,1.966,0.111,1.76,2.171,1.0
5e1f97bb97308b2cf7b254fb,1.339,0.504,0.418,2.268,1.0,0.408,0.159,0.127,0.703,1.0,0.881,0.062,0.764,0.994,1.0,1.488,0.085,1.328,1.644,1.0
5ffeaf4663b06e523dd92c22,2.956,0.58,1.893,4.063,1.0,0.213,0.096,0.053,0.396,1.0,0.275,0.081,0.123,0.423,1.0,1.967,0.111,1.768,2.185,1.0
62ebd3cd785939570957fe59,1.667,0.19,1.312,2.021,1.0,0.27,0.092,0.106,0.445,1.0,0.05,0.019,0.017,0.086,1.0,0.569,0.033,0.509,0.631,1.0
6340ae1dbc05980f88bc4a29,4.655,0.618,3.503,5.818,1.0,0.205,0.093,0.045,0.374,1.0,0.361,0.089,0.192,0.527,1.0,2.066,0.117,1.856,2.293,1.0
6547a4f91dc8dbde395fe617,3.745,0.393,2.987,4.457,1.0,0.233,0.096,0.069,0.414,1.0,0.201,0.049,0.106,0.291,1.0,1.095,0.063,0.982,1.216,1.0
6649d3063d417260fe8e3d7f,3.977,1.027,2.088,5.969,1.0,0.585,0.137,0.318,0.835,1.0,0.998,0.124,0.775,1.239,1.0,2.301,0.13,2.057,2.544,1.0
6658b161dc9f95822cbcf443,2.234,0.402,1.458,2.97,1.0,0.203,0.061,0.087,0.314,1.0,0.251,0.051,0.157,0.347,1.0,1.123,0.066,1.003,1.248,1.0
66cf306107ad4fcf4bef6f2f,2.463,0.738,1.108,3.875,1.0,0.245,0.113,0.048,0.451,1.0,0.727,0.114,0.515,0.943,1.0,2.596,0.145,2.335,2.877,1.0
66feee5066f9e3e110cac5d8,3.207,0.452,2.342,4.025,1.0,0.227,0.084,0.077,0.387,1.0,0.138,0.057,0.036,0.245,1.0,1.856,0.105,1.661,2.053,1.0
670a165e0ef22b0779d470dd,7.866,1.278,5.407,10.086,1.0,0.279,0.175,0.038,0.594,1.0,0.482,0.189,0.134,0.823,1.0,4.414,0.26,3.947,4.92,1.0
