Participant_ID,indi_beta0_mean,indi_beta0_sd,indi_beta0_hdi_3%,indi_beta0_hdi_97%,indi_beta0_r_hat,indi_beta1_mean,indi_beta1_sd,indi_beta1_hdi_3%,indi_beta1_hdi_97%,indi_beta1_r_hat,indi_beta2_mean,indi_beta2_sd,indi_beta2_hdi_3%,indi_beta2_hdi_97%,indi_beta2_r_hat,indi_drift_mean,indi_drift_sd,indi_drift_hdi_3%,indi_drift_hdi_97%,indi_drift_r_hat
590df20e12802600017e1006,5.461,0.973,3.575,7.245,1.0,0.423,0.146,0.171,0.711,1.0,0.879,0.135,0.638,1.143,1.0,1.286,0.076,1.142,1.424,1.0
5ae33e48ed7f8b0001ca7bf8,5.275,0.653,4.019,6.462,1.0,0.294,0.094,0.125,0.476,1.0,0.166,0.067,0.045,0.287,1.0,1.139,0.072,1.006,1.274,1.0
5b1d557444127b00013fec9e,2.716,0.589,1.627,3.819,1.0,0.24,0.089,0.077,0.403,1.0,0.347,0.085,0.19,0.505,1.0,0.875,0.058,0.762,0.98,1.0
5b2bcfb51835660001cc6751,0.907,0.376,0.211,1.59,1.0,0.204,0.084,0.052,0.356,1.0,1.354,0.108,1.151,1.554,1.0,1.741,0.105,1.541,1.936,1.0
5bcedec641f0710001c74dd5,10.246,1.169,7.953,12.329,1.0,0.579,0.24,0.163,1.017,1.0,0.365,0.106,0.174,0.571,1.0,2.232,0.13,1.985,2.475,1.0
5bd0a57f446a8e0001204390,3.993,0.715,2.614,5.283,1.0,0.322,0.138,0.092,0.585,1.0,1.079,0.116,0.86,1.302,1.0,2.195,0.128,1.953,2.438,1.0
5be2fc5f0d71c80001ff4cb2,0.94,0.331,0.338,1.561,1.0,0.199,0.04,0.124,0.273,1.0,0.979,0.102,0.795,1.175,1.0,1.362,0.089,1.198,1.529,1.0
5c634aca9d0d7000012479a0,7.102,0.729,5.71,8.45,1.0,0.267,0.086,0.108,0.424,1.0,0.485,0.085,0.315,0.635,1.0,3.015,0.179,2.677,3.348,1.0
5c98db753df5fc0016e3baed,7.403,0.912,5.726,9.163,1.0,0.385,0.153,0.13,0.682,1.0,0.518,0.112,0.305,0.719,1.0,1.73,0.101,1.54,1.919,1.0
5cb4b413a17c7300154f8b60,10.455,1.108,8.383,12.519,1.0,0.435,0.102,0.252,0.635,1.0,0.805,0.18,0.468,1.144,1.0,1.5,0.088,1.332,1.659,1.0
5e1cf0eb65b6d3071f489de9,6.674,0.816,5.108,8.174,1.0,0.328,0.138,0.087,0.585,1.0,0.29,0.096,0.113,0.469,1.0,1.335,0.079,1.183,1.478,1.0
5e1f97bb97308b2cf7b254fb,2.434,0.893,0.831,4.13,1.0,0.767,0.311,0.237,1.336,1.0,1.723,0.152,1.431,2.002,1.0,1.922,0.112,1.706,2.126,1.0
5ffeaf4663b06e523dd92c22,3.129,0.606,2.023,4.323,1.0,0.345,0.122,0.117,0.569,1.0,0.219,0.072,0.087,0.353,1.0,1.043,0.067,0.912,1.163,1.0
62ebd3cd785939570957fe59,4.791,0.579,3.715,5.866,1.0,0.607,0.259,0.193,1.111,1.0,0.12,0.047,0.035,0.208,1.0,2.71,0.16,2.423,3.022,1.0
6340ae1dbc05980f88bc4a29,6.011,0.786,4.565,7.504,1.0,0.272,0.107,0.085,0.474,1.0,0.444,0.103,0.243,0.633,1.0,1.275,0.078,1.136,1.428,1.0
6547a4f91dc8dbde395fe617,8.06,0.898,6.354,9.706,1.0,0.447,0.188,0.13,0.804,1.0,0.388,0.1,0.206,0.583,1.0,2.079,0.124,1.848,2.316,1.0
6649d3063d417260fe8e3d7f,6.239,1.251,3.964,8.629,1.0,0.705,0.174,0.36,1.019,1.0,1.247,0.178,0.904,1.568,1.0,1.358,0.082,1.201,1.506,1.0
6658b161dc9f95822cbcf443,4.225,0.701,2.923,5.521,1.0,0.329,0.1,0.141,0.515,1.0,0.417,0.087,0.258,0.581,1.0,1.775,0.108,1.578,1.983,1.0
66cf306107ad4fcf4bef6f2f,3.083,0.679,1.784,4.325,1.0,0.282,0.109,0.088,0.487,1.0,0.66,0.109,0.45,0.86,1.0,1.052,0.065,0.93,1.173,1.0
66feee5066f9e3e110cac5d8,3.451,0.515,2.456,4.375,1.0,0.3,0.096,0.119,0.479,1.0,0.156,0.06,0.049,0.267,1.0,1.111,0.071,0.978,1.244,1.0
670a165e0ef22b0779d470dd,5.699,0.922,3.916,7.327,1.0,0.367,0.168,0.091,0.69,1.0,0.336,0.117,0.124,0.558,1.0,0.751,0.049,0.66,0.844,1.0
