synthetic_par_ID,group_parameter_set_ID,recovered_a_mean,recovered_a_std,recovered_a_r_hat,recovered_t_mean,recovered_t_std,recovered_t_r_hat,recovered_v_diff_p_mean,recovered_v_diff_p_std,recovered_v_diff_p_r_hat,recovered_v_diff_x_mean,recovered_v_diff_x_std,recovered_v_diff_x_r_hat,recovered_v_diff_ev_mean,recovered_v_diff_ev_std,recovered_v_diff_ev_r_hat
0,0,3.012,0.162,1.0,1.184,0.096,1.0,0.528,0.172,1.0,1.379,0.169,1.0,3.453,0.386,1.0
1,0,2.218,0.121,1.0,1.392,0.063,1.0,2.574,0.283,1.0,0.827,0.209,1.0,1.815,0.453,1.0
2,0,3.298,0.128,1.0,0.427,0.108,1.0,1.671,0.168,1.0,0.365,0.118,1.0,1.14,0.261,1.0
3,0,1.417,0.074,1.0,0.581,0.029,1.0,2.503,0.36,1.0,1.713,0.292,1.0,2.437,0.625,1.0
4,0,2.122,0.106,1.0,0.454,0.059,1.0,2.043,0.28,1.0,1.198,0.233,1.0,1.733,0.469,1.0
5,0,1.46,0.074,1.0,1.908,0.034,1.0,1.25,0.336,1.0,2.117,0.309,1.0,2.603,0.589,1.0
6,0,2.105,0.122,1.0,1.793,0.038,1.0,3.067,0.34,1.0,3.871,0.336,1.0,3.303,0.594,1.0
7,0,2.811,0.143,1.0,0.334,0.098,1.0,1.151,0.175,1.0,0.364,0.134,1.0,2.212,0.327,1.0
8,0,1.377,0.076,1.0,1.204,0.028,1.0,3.692,0.384,1.0,2.067,0.309,1.0,0.794,0.484,1.0
9,0,2.753,0.147,1.0,1.592,0.106,1.0,0.39,0.171,1.0,1.247,0.169,1.0,2.707,0.36,1.0
10,0,2.801,0.169,1.0,0.81,0.078,1.0,2.219,0.216,1.0,3.575,0.258,1.0,0.383,0.261,1.0
11,0,1.41,0.066,1.0,0.724,0.036,1.0,0.702,0.289,1.0,1.355,0.27,1.0,2.456,0.537,1.0
12,0,2.328,0.128,1.0,0.262,0.062,1.0,1.743,0.209,1.0,0.317,0.151,1.0,2.932,0.401,1.0
13,0,3.021,0.187,1.0,1.073,0.069,1.0,0.288,0.175,1.0,2.721,0.219,1.0,3.479,0.382,1.0
14,0,3.029,0.182,1.0,0.672,0.061,1.0,3.777,0.296,1.0,1.916,0.202,1.0,1.826,0.411,1.0
15,0,2.789,0.169,1.0,1.496,0.057,1.0,2.773,0.279,1.0,1.479,0.204,1.0,4.066,0.506,1.0
16,0,3.362,0.108,1.0,1.043,0.055,1.0,2.347,0.183,1.0,0.16,0.105,1.0,4.01,0.36,1.0
17,0,1.498,0.075,1.0,1.316,0.028,1.0,2.182,0.376,1.0,3.022,0.362,1.0,2.39,0.641,1.0
18,0,1.654,0.094,1.0,0.51,0.044,1.0,0.317,0.213,1.0,2.299,0.236,1.0,1.129,0.371,1.0
19,0,3.024,0.189,1.0,0.564,0.059,1.0,1.143,0.215,1.0,3.778,0.282,1.0,3.307,0.43,1.0
20,0,2.959,0.169,1.0,1.201,0.082,1.0,1.681,0.204,1.0,0.403,0.149,1.0,3.021,0.387,1.0
0,1,2.132,0.126,1.0,0.728,0.052,1.0,2.424,0.27,1.0,0.484,0.194,1.0,2.287,0.427,1.0
1,1,2.348,0.124,1.0,1.287,0.07,1.0,1.005,0.234,1.0,1.817,0.227,1.0,2.623,0.451,1.0
2,1,2.14,0.11,1.0,0.988,0.081,1.0,1.336,0.208,1.0,1.769,0.202,1.0,0.539,0.318,1.0
3,1,2.79,0.161,1.0,0.425,0.053,1.0,3.412,0.305,1.0,2.567,0.245,1.0,3.231,0.505,1.0
4,1,2.794,0.184,1.0,1.11,0.073,1.0,0.954,0.235,1.0,3.091,0.268,1.0,2.136,0.4,1.0
5,1,3.116,0.167,1.0,1.032,0.087,1.0,0.81,0.186,1.0,1.867,0.189,1.0,3.289,0.392,1.0
6,1,0.739,0.036,1.0,1.674,0.011,1.0,1.343,0.506,1.0,3.946,0.516,1.0,1.504,0.78,1.0
7,1,0.573,0.023,1.0,1.914,0.007,1.0,1.425,0.463,1.0,0.441,0.321,1.0,3.062,0.889,1.0
8,1,0.853,0.042,1.0,1.774,0.012,1.0,1.964,0.538,1.0,3.05,0.487,1.0,4.143,0.955,1.0
9,1,2.021,0.095,1.0,1.337,0.095,1.0,0.649,0.213,1.0,0.664,0.183,1.0,1.021,0.346,1.0
10,1,3.283,0.144,1.0,1.753,0.079,1.0,1.581,0.182,1.0,3.779,0.257,1.0,0.337,0.225,1.0
11,1,1.901,0.094,1.0,0.874,0.044,1.0,0.757,0.254,1.0,1.397,0.235,1.0,4.589,0.555,1.0
12,1,2.915,0.173,1.0,0.715,0.083,1.0,0.21,0.144,1.0,1.784,0.163,1.0,3.256,0.342,1.0
13,1,2.996,0.176,1.0,1.68,0.115,1.0,1.878,0.216,1.0,2.545,0.227,1.0,0.619,0.319,1.0
14,1,0.889,0.046,1.0,1.784,0.013,1.0,4.289,0.497,1.0,1.276,0.368,1.0,1.453,0.733,1.0
15,1,2.081,0.115,1.0,1.191,0.044,1.0,3.171,0.338,1.0,2.902,0.293,1.0,2.336,0.549,1.0
16,1,2.026,0.097,1.0,0.883,0.067,1.0,1.387,0.201,1.0,0.314,0.152,1.0,0.892,0.327,1.0
17,1,2.242,0.123,1.0,1.133,0.072,1.0,0.203,0.143,1.0,1.476,0.162,1.0,2.859,0.346,1.0
18,1,2.753,0.159,1.0,0.41,0.053,1.0,3.729,0.31,1.0,3.252,0.272,1.0,2.577,0.47,1.0
19,1,2.613,0.179,1.0,1.894,0.061,1.0,0.283,0.19,1.0,3.043,0.24,1.0,2.071,0.355,1.0
20,1,1.994,0.101,1.0,0.656,0.072,1.0,0.432,0.187,1.0,1.59,0.19,1.0,0.519,0.291,1.0
