group_parameter_set_ID,recovered_group_log_beta0_mu_mean,recovered_group_log_beta0_mu_sd,recovered_group_log_beta0_mu_hdi_3,recovered_group_log_beta0_mu_hdi_97,recovered_group_log_beta0_sigma_mean,recovered_group_log_beta0_sigma_sd,recovered_group_log_beta0_sigma_hdi_3,recovered_group_log_beta0_sigma_hdi_97,recovered_group_log_beta1_mu_mean,recovered_group_log_beta1_mu_sd,recovered_group_log_beta1_mu_hdi_3,recovered_group_log_beta1_mu_hdi_97,recovered_group_log_beta1_sigma_mean,recovered_group_log_beta1_sigma_sd,recovered_group_log_beta1_sigma_hdi_3,recovered_group_log_beta1_sigma_hdi_97,recovered_group_log_beta2_mu_mean,recovered_group_log_beta2_mu_sd,recovered_group_log_beta2_mu_hdi_3,recovered_group_log_beta2_mu_hdi_97,recovered_group_log_beta2_sigma_mean,recovered_group_log_beta2_sigma_sd,recovered_group_log_beta2_sigma_hdi_3,recovered_group_log_beta2_sigma_hdi_97,recovered_group_log_drift_mu_mean,recovered_group_log_drift_mu_sd,recovered_group_log_drift_mu_hdi_3,recovered_group_log_drift_mu_hdi_97,recovered_group_log_drift_sigma_mean,recovered_group_log_drift_sigma_sd,recovered_group_log_drift_sigma_hdi_3,recovered_group_log_drift_sigma_hdi_97
0,1.36,0.172,1.045,1.699,0.794,0.137,0.558,1.065,-1.044,0.159,-1.353,-0.759,0.663,0.134,0.422,0.917,-0.887,0.161,-1.183,-0.579,0.715,0.132,0.471,0.947,0.321,0.069,0.19,0.446,0.316,0.049,0.238,0.419
1,1.587,0.134,1.339,1.841,0.554,0.104,0.332,0.734,-0.675,0.12,-0.892,-0.442,0.501,0.125,0.301,0.737,-0.297,0.169,-0.61,0.011,0.844,0.132,0.61,1.088,0.589,0.093,0.403,0.76,0.428,0.072,0.308,0.57
2,1.093,0.169,0.758,1.386,0.729,0.151,0.489,1.036,-0.901,0.151,-1.174,-0.619,0.629,0.127,0.429,0.877,-1.077,0.142,-1.342,-0.82,0.613,0.147,0.375,0.903,0.433,0.09,0.263,0.601,0.457,0.076,0.323,0.595
3,0.799,0.176,0.463,1.122,0.734,0.144,0.509,1.041,-0.613,0.13,-0.854,-0.374,0.544,0.091,0.385,0.717,-0.4,0.167,-0.718,-0.084,0.872,0.124,0.656,1.095,0.464,0.091,0.302,0.636,0.405,0.073,0.276,0.54
4,1.196,0.189,0.844,1.547,0.773,0.139,0.533,1.033,-0.816,0.113,-1.028,-0.598,0.467,0.097,0.319,0.671,-0.906,0.121,-1.143,-0.69,0.541,0.099,0.368,0.725,0.387,0.123,0.158,0.638,0.588,0.087,0.432,0.749
5,1.484,0.17,1.165,1.792,0.704,0.157,0.415,0.98,-1.045,0.177,-1.396,-0.737,0.719,0.165,0.461,1.009,-0.493,0.182,-0.85,-0.166,0.901,0.141,0.65,1.17,0.454,0.087,0.298,0.625,0.394,0.067,0.272,0.518
6,0.701,0.238,0.236,1.133,1.027,0.183,0.69,1.36,-1.008,0.13,-1.287,-0.794,0.407,0.11,0.212,0.61,-0.563,0.172,-0.877,-0.239,0.752,0.114,0.556,0.981,0.509,0.105,0.317,0.717,0.454,0.076,0.327,0.596
7,0.971,0.213,0.595,1.38,0.908,0.161,0.607,1.204,-0.854,0.15,-1.147,-0.589,0.649,0.14,0.392,0.906,-0.895,0.156,-1.181,-0.586,0.69,0.13,0.45,0.924,0.387,0.079,0.233,0.536,0.339,0.059,0.241,0.458
8,1.067,0.253,0.579,1.546,1.104,0.162,0.83,1.403,-0.909,0.142,-1.176,-0.638,0.447,0.139,0.207,0.733,-0.834,0.128,-1.085,-0.603,0.507,0.09,0.336,0.685,0.143,0.09,-0.027,0.311,0.426,0.065,0.314,0.545
9,1.171,0.199,0.775,1.512,0.783,0.163,0.502,1.088,-0.607,0.13,-0.841,-0.361,0.536,0.112,0.346,0.739,-0.504,0.188,-0.862,-0.15,0.893,0.153,0.643,1.184,0.41,0.107,0.21,0.614,0.527,0.086,0.377,0.682
10,1.256,0.163,0.933,1.553,0.715,0.113,0.513,0.934,-0.829,0.155,-1.126,-0.534,0.674,0.126,0.449,0.895,-0.773,0.143,-1.034,-0.501,0.639,0.128,0.417,0.864,0.446,0.118,0.213,0.664,0.563,0.093,0.409,0.743
11,1.307,0.139,1.035,1.56,0.574,0.108,0.378,0.755,-1.021,0.126,-1.267,-0.791,0.421,0.122,0.223,0.65,-0.588,0.16,-0.88,-0.278,0.762,0.131,0.52,1.018,0.577,0.066,0.444,0.693,0.309,0.052,0.21,0.407
12,1.213,0.171,0.896,1.548,0.705,0.115,0.523,0.915,-1.024,0.147,-1.317,-0.758,0.563,0.131,0.342,0.78,-0.585,0.167,-0.897,-0.278,0.827,0.133,0.588,1.079,0.394,0.049,0.298,0.484,0.219,0.043,0.149,0.3
