group_parameter_set_ID,synthetic_par_ID,recovered_indi_beta0_mean,recovered_indi_beta0_sd,recovered_indi_beta1_mean,recovered_indi_beta1_sd,recovered_indi_beta2_mean,recovered_indi_beta2_sd,recovered_indi_drift_mean,recovered_indi_drift_sd
0,0,6.599,0.641,0.161,0.049,0.199,0.076,1.022,0.062
0,1,8.145,0.955,0.192,0.077,1.633,0.167,1.308,0.076
0,2,1.04,0.312,0.208,0.03,0.575,0.065,2.131,0.131
0,3,6.243,0.919,0.666,0.213,0.369,0.099,1.943,0.113
0,4,3.104,0.698,0.712,0.105,0.384,0.093,1.442,0.087
0,5,10.713,1.026,0.224,0.106,0.886,0.141,1.501,0.087
0,6,5.094,1.06,0.872,0.168,0.569,0.136,1.301,0.077
0,7,15.513,1.348,0.394,0.115,0.313,0.139,0.728,0.042
0,8,2.808,0.442,0.148,0.063,0.247,0.061,1.417,0.09
0,9,6.492,0.824,0.66,0.095,0.34,0.115,1.122,0.067
0,10,2.104,0.451,0.249,0.046,0.766,0.083,2.602,0.157
0,11,3.471,0.574,0.376,0.113,0.223,0.066,1.755,0.106
0,12,4.896,0.808,0.321,0.09,0.703,0.115,1.29,0.076
0,13,10.094,0.858,0.398,0.086,0.184,0.077,1.468,0.087
0,14,15.111,1.12,0.202,0.074,0.217,0.09,1.254,0.073
0,15,4.771,0.699,0.321,0.079,0.413,0.095,1.485,0.088
0,16,3.922,0.587,0.177,0.051,0.544,0.094,1.334,0.08
0,17,2.375,0.52,0.952,0.141,0.159,0.055,1.946,0.12
0,18,1.11,0.352,0.289,0.081,0.186,0.048,0.766,0.056
0,19,6.345,0.853,0.343,0.086,0.351,0.109,0.996,0.06
0,20,6.14,0.84,0.495,0.089,0.821,0.135,1.38,0.082
1,0,5.321,0.771,0.522,0.098,0.778,0.111,2.217,0.129
1,1,5.947,0.516,0.309,0.047,0.183,0.053,4.583,0.264
1,2,7.49,0.943,0.303,0.092,1.109,0.142,1.111,0.065
1,3,4.892,0.85,0.397,0.076,1.822,0.161,1.535,0.088
1,4,10.575,1.018,0.884,0.122,0.234,0.095,1.672,0.097
1,5,6.827,0.888,0.3,0.071,0.944,0.143,1.082,0.065
1,6,3.373,0.826,0.525,0.227,2.761,0.202,2.456,0.139
1,7,6.18,0.716,0.433,0.183,0.245,0.071,3.009,0.176
1,8,4.784,1.041,0.689,0.299,0.902,0.146,1.205,0.071
1,9,3.564,0.699,0.612,0.091,1.913,0.154,2.551,0.146
1,10,4.923,0.635,0.426,0.063,0.258,0.09,1.332,0.08
