group_parameter_set_ID,synthetic_par_ID,recovered_indi_beta0_mean,recovered_indi_beta0_sd,recovered_indi_beta1_mean,recovered_indi_beta1_sd,recovered_indi_beta2_mean,recovered_indi_beta2_sd,recovered_indi_drift_mean,recovered_indi_drift_sd
0,0,1.353,0.574,2.134,0.162,0.432,0.087,1.483,0.087
0,1,8.11,1.856,8.154,0.514,2.345,0.283,1.916,0.111
0,2,2.083,0.737,2.591,0.206,0.758,0.104,2.296,0.132
0,3,2.692,1.244,4.221,0.441,1.266,0.164,1.507,0.088
0,4,2.37,1.077,3.758,0.292,0.465,0.145,0.563,0.034
0,5,2.731,1.28,10.321,0.604,1.515,0.226,1.623,0.091
0,6,10.158,2.157,3.809,0.73,0.482,0.18,0.893,0.052
0,7,3.066,0.676,1.583,0.135,0.196,0.075,1.553,0.091
0,8,3.79,1.85,7.053,0.762,1.3,0.196,1.661,0.095
0,9,2.285,0.991,2.805,0.525,1.091,0.124,2.108,0.122
0,10,2.771,1.007,5.511,0.451,0.256,0.099,1.125,0.066
0,11,1.134,0.563,4.212,0.292,0.237,0.08,1.124,0.066
0,12,2.614,1.184,5.139,0.342,1.232,0.184,1.564,0.09
0,13,1.995,1.007,15.105,0.871,0.599,0.16,1.801,0.102
0,14,4.61,0.978,3.557,0.228,1.533,0.17,2.801,0.159
0,15,2.382,0.977,4.639,0.317,0.592,0.136,1.735,0.099
0,16,1.351,0.612,3.57,0.277,0.705,0.092,1.737,0.102
0,17,6.866,1.558,5.306,0.395,0.604,0.186,1.214,0.07
0,18,5.833,1.503,5.095,0.416,0.458,0.163,1.178,0.069
0,19,1.471,0.618,1.274,0.378,0.72,0.089,1.948,0.113
0,20,4.538,1.503,5.023,0.385,1.835,0.219,1.782,0.102
1,0,2.133,0.9,4.866,0.661,0.432,0.104,2.17,0.125
1,1,3.58,1.266,8.739,0.534,0.365,0.163,1.131,0.064
1,2,6.405,2.597,7.913,0.678,0.903,0.289,0.776,0.043
1,3,7.126,0.98,1.862,0.132,0.357,0.136,1.486,0.085
1,4,1.402,0.443,2.64,0.193,0.157,0.055,1.321,0.078
1,5,6.189,0.818,2.976,0.498,0.236,0.081,2.02,0.12
1,6,2.859,0.83,4.661,0.296,0.276,0.112,1.551,0.088
1,7,2.49,0.842,2.658,0.188,0.797,0.143,1.446,0.082
1,8,4.093,1.947,9.516,0.811,2.92,0.288,1.394,0.08
1,9,2.958,1.191,4.064,0.339,0.962,0.173,1.232,0.07
1,10,4.299,1.233,5.763,0.362,0.897,0.206,2.147,0.123
1,11,2.223,0.854,2.022,0.23,0.707,0.121,1.233,0.071
1,12,3.38,0.93,3.098,0.2,0.47,0.149,1.694,0.096
1,13,2.0,0.759,4.57,0.416,0.4,0.099,0.808,0.049
1,14,9.503,1.57,4.336,0.297,0.869,0.221,1.64,0.094
1,15,3.521,0.804,4.345,0.274,0.208,0.094,1.195,0.068
1,16,5.78,1.301,4.927,0.35,0.316,0.146,1.119,0.064
1,17,5.642,1.265,3.934,0.261,0.6,0.178,1.342,0.076
1,18,3.699,1.106,5.018,0.427,0.517,0.134,1.272,0.072
1,19,1.848,0.697,5.082,0.311,0.208,0.094,1.08,0.061
1,20,2.756,0.834,2.626,0.181,0.416,0.117,1.459,0.084
2,0,2.881,1.171,9.411,0.795,0.225,0.106,1.975,0.115
2,1,3.264,1.15,4.201,0.363,0.23,0.113,1.226,0.07
2,2,7.111,1.594,4.807,0.293,1.049,0.314,1.684,0.095
2,3,1.36,0.638,4.681,0.312,0.178,0.081,1.218,0.069
2,4,3.026,1.245,3.767,0.265,4.927,0.325,2.356,0.132
2,5,1.788,0.895,4.582,0.344,1.115,0.139,1.339,0.076
2,6,8.91,2.35,8.599,0.624,0.618,0.274,0.978,0.057
2,7,2.157,1.103,4.36,0.286,0.581,0.183,0.783,0.045
