group_parameter_set_ID,recovered_group_log_beta0_mu_mean,recovered_group_log_beta0_mu_sd,recovered_group_log_beta0_sigma_mean,recovered_group_log_beta0_sigma_sd,recovered_group_log_beta1_mu_mean,recovered_group_log_beta1_mu_sd,recovered_group_log_beta1_sigma_mean,recovered_group_log_beta1_sigma_sd,recovered_group_log_beta2_mu_mean,recovered_group_log_beta2_mu_sd,recovered_group_log_beta2_sigma_mean,recovered_group_log_beta2_sigma_sd,recovered_group_log_drift_mu_mean,recovered_group_log_drift_mu_sd,recovered_group_log_drift_sigma_mean,recovered_group_log_drift_sigma_sd
0,0.909,0.203,0.777,0.134,1.177,0.129,0.592,0.108,-0.779,0.129,0.439,0.148,0.389,0.089,0.401,0.067
1,1.49,0.25,1.014,0.17,1.165,0.161,0.763,0.148,-0.586,0.22,1.132,0.215,0.401,0.126,0.516,0.082
2,1.074,0.134,0.382,0.113,1.308,0.106,0.443,0.084,-0.447,0.16,0.697,0.144,0.191,0.106,0.455,0.088
3,1.115,0.258,0.909,0.192,0.812,0.155,0.706,0.114,-0.444,0.209,1.058,0.174,0.275,0.082,0.39,0.09
4,0.789,0.24,0.782,0.209,1.358,0.174,0.725,0.118,-0.809,0.253,1.086,0.187,0.502,0.109,0.514,0.087
5,1.166,0.15,0.539,0.162,1.45,0.181,0.848,0.142,-0.844,0.145,0.457,0.17,0.335,0.14,0.637,0.113
6,1.005,0.243,0.89,0.184,1.069,0.083,0.341,0.071,-0.66,0.159,0.669,0.145,0.359,0.088,0.42,0.086
7,1.039,0.212,0.646,0.169,1.296,0.2,0.943,0.132,-0.421,0.119,0.49,0.106,0.507,0.059,0.259,0.048
8,0.93,0.267,0.999,0.228,1.384,0.116,0.496,0.091,-0.783,0.164,0.715,0.16,0.374,0.083,0.4,0.061
9,1.161,0.185,0.678,0.159,1.163,0.114,0.498,0.096,-0.7,0.154,0.628,0.132,0.265,0.088,0.384,0.057
