group_parameter_set_ID,log_beta0_mu,log_beta1_mu,log_beta2_mu,log_beta0_sigma,log_beta1_sigma,log_beta2_sigma,log_drift_mu,log_drift_sigma
0,1.487982944996628,-0.610324172951834,2.4895145705883275,0.3478389285506125,0.7480409548771264,0.7447591584389555,-1.5090035766677017,0.41857714450886324
1,0.5750646373628038,2.171582039323864,-0.8644056082838218,0.225089058572193,0.6067953675523076,2.0029315325832724,-1.9478368264118582,1.36416213545814
2,-1.0172699770929068,-2.5886133153160626,-3.1756201576777583,2.9213725389488974,0.31952065056628726,0.7890585644190069,-1.1667149643324504,0.681190078815658
3,0.8915919344757129,-2.3980345333869506,0.6500949028481474,1.065546144637287,1.5089061110717614,1.2194662458648735,0.7251683626586751,0.8213928687779022
4,-0.8914904948268875,0.9980144808367593,1.008063216687781,0.06160449923914496,1.6235872716910835,0.7971416388406177,2.3343247468796866,1.4846243735896345
5,3.2084290287540402,-0.8514621245431969,1.3814902846860386,0.4636850269216155,1.1807564681817038,0.215477813081506,-1.4759157360147195,0.4567439291720369
6,-0.6755553260953745,0.999053394614923,0.606762486326742,0.3968180121715737,0.8260111512246926,1.145810554333125,-0.923381988999784,1.2401625950032569
7,0.78624955483708,-1.033586219945533,-1.2211892721026634,0.3562986796702063,1.226208627225198,0.48280842231574456,-0.22446113228140496,1.0769500081703622
8,-1.1413538633677163,2.9304973877281433,1.4689200666914248,2.220527919198675,0.16219852671299734,0.09317821165245092,0.4978362919299525,0.4228821829010331
9,-1.1220579808366526,0.2679311422896415,-0.6362525620354403,0.3985271344981117,1.5544101025863284,1.0643594579041473,-2.335344860833017,0.8843456004528043
