group_parameter_set_ID,synthetic_par_ID,recovered_indi_beta0_mean,recovered_indi_beta0_sd,recovered_indi_beta1_mean,recovered_indi_beta1_sd,recovered_indi_beta2_mean,recovered_indi_beta2_sd,recovered_indi_drift_mean,recovered_indi_drift_sd
0,0,1.886,0.73,2.299,0.168,0.452,0.109,0.995,0.058
0,1,1.295,0.597,4.932,0.288,0.476,0.112,1.79,0.1
0,2,4.75,1.009,1.419,0.228,0.519,0.116,1.197,0.071
0,3,2.425,0.856,5.004,0.394,0.548,0.11,1.579,0.091
0,4,3.529,0.784,0.958,0.095,0.914,0.147,1.588,0.094
0,5,1.475,0.601,3.244,0.205,0.41,0.087,2.179,0.124
0,6,5.198,1.768,5.283,0.467,0.903,0.216,1.351,0.078
0,7,6.203,1.586,5.934,0.382,0.582,0.205,0.823,0.048
0,8,3.139,1.1,2.43,0.237,0.359,0.114,0.678,0.04
0,9,1.65,0.639,3.251,0.217,0.402,0.087,1.72,0.099
0,10,3.308,1.026,6.484,0.455,0.523,0.118,1.845,0.105
0,11,1.901,0.593,1.278,0.184,0.354,0.064,2.381,0.139
0,12,3.311,0.793,2.368,0.168,0.389,0.102,1.509,0.088
0,13,4.938,1.117,4.982,0.394,0.456,0.11,2.324,0.132
0,14,1.39,0.539,4.08,0.25,0.313,0.075,2.634,0.15
0,15,20.89,1.967,3.307,0.264,0.608,0.212,0.915,0.052
0,16,3.039,1.37,6.374,0.543,0.47,0.128,1.446,0.083
0,17,1.577,0.648,4.321,0.261,0.289,0.09,1.439,0.081
0,18,2.409,0.891,5.64,0.348,0.348,0.109,0.98,0.056
0,19,2.143,0.833,6.639,0.386,0.453,0.128,2.207,0.126
0,20,4.706,0.96,2.85,0.184,0.43,0.124,1.712,0.097
1,0,24.918,3.491,6.786,0.606,1.01,0.432,0.689,0.04
1,1,11.08,2.006,17.122,1.092,0.445,0.225,1.125,0.064
1,2,1.445,0.545,2.061,0.139,0.111,0.061,0.762,0.045
1,3,4.275,0.876,3.934,0.264,0.345,0.103,4.179,0.24
1,4,2.298,1.322,1.861,0.4,2.586,0.237,0.829,0.049
1,5,9.724,1.439,4.413,0.391,0.23,0.13,1.41,0.08
1,6,2.32,0.901,0.96,0.158,2.272,0.174,2.254,0.129
1,7,2.466,1.056,2.47,0.746,0.553,0.118,1.166,0.071
1,8,15.433,2.082,9.745,0.826,0.199,0.125,1.549,0.09
1,9,16.111,1.82,9.085,0.653,0.317,0.161,2.033,0.115
1,10,2.689,1.417,2.479,0.297,2.906,0.255,0.787,0.045
1,11,3.302,1.241,3.809,0.348,1.509,0.173,1.777,0.101
1,12,6.668,1.842,3.924,0.589,0.385,0.169,1.048,0.061
1,13,1.394,0.599,1.988,0.196,0.233,0.064,3.237,0.187
1,14,8.494,1.708,2.314,0.882,0.24,0.117,1.285,0.076
1,15,4.175,1.311,5.875,0.364,3.755,0.293,2.594,0.147
1,16,6.352,1.135,2.426,0.219,0.241,0.122,1.502,0.087
1,17,13.899,1.935,4.378,0.315,0.585,0.248,0.935,0.054
1,18,17.342,1.697,1.987,0.232,0.766,0.188,1.871,0.106
1,19,27.313,2.134,2.231,0.79,0.298,0.136,2.777,0.156
1,20,8.812,1.331,10.215,0.616,0.216,0.137,1.649,0.095
