group_parameter_set_ID,synthetic_par_ID,Round_ID,Gamble_ID,rt,response,repro_t,wt,diff_x,diff_p,diff_ev
0,0,0,157,12.422246932983398,-1.0,34.30902044450699,0.0,-0.01,-0.21,-0.007300000000000001
0,0,1,1,2.8879499435424805,1.0,13.661283776596425,3.1120500564575195,0.05,-0.04,-0.0021999999999999993
0,0,2,151,3.181220769882202,-1.0,16.199782969522165,4.818779230117798,-0.42,-0.34,-0.4116000000000001
0,0,3,27,3.835982084274292,1.0,10.171369496177128,2.164017915725708,0.64,-0.29,-0.04869999999999999
0,0,4,58,3.476248025894165,1.0,7.402259821678695,2.523751974105835,0.72,-0.51,0.10169999999999998
0,0,5,153,2.60884690284729,-1.0,9.014096826661135,7.39115309715271,-0.26,-0.13,-0.2899
0,0,6,37,4.586880683898926,1.0,11.063019991099138,1.4131193161010742,0.65,-0.39,0.20670000000000002
0,0,7,76,4.387356758117676,-1.0,19.265366651420905,5.612643241882324,0.58,-0.72,0.02360000000000001
0,0,8,42,5.15154504776001,-1.0,19.412431667600373,2.8484549522399902,0.11,-0.44,-0.11879999999999996
0,0,9,130,3.4415338039398193,1.0,15.139798044700822,4.558466196060181,0.92,-0.48,0.10960000000000002
0,0,10,22,4.714989185333252,-1.0,12.999261257475137,1.285010814666748,0.16,-0.26,-0.014000000000000012
0,0,11,48,2.811077117919922,1.0,10.3858117661202,5.188922882080078,0.78,-0.45,0.1134
0,0,12,159,2.0431487560272217,-1.0,13.750186617405223,7.956851243972778,-0.06,-0.51,-0.33270000000000005
0,0,13,81,2.550023078918457,-1.0,7.0492629797275095,5.449976921081543,0.01,-0.81,-0.7191
0,0,14,23,20.82550621032715,1.0,51.809622195413894,0.0,0.29,-0.27,0.0762
0,0,15,129,9.657304763793945,1.0,21.233932271238647,0.3426952362060547,0.36,-0.29,-0.11700000000000002
0,0,16,111,4.46303129196167,1.0,14.74878823026492,3.53696870803833,0.44,-0.24,-0.03999999999999998
0,0,17,19,2.2323319911956787,1.0,9.386704933700841,5.767668008804321,0.86,-0.16,0.18879999999999997
0,0,18,117,4.7707648277282715,-1.0,9.005171965613034,3.2292351722717285,0.27,-0.63,-0.26639999999999997
0,0,19,56,17.808259963989258,1.0,49.10596991832336,0.0,0.54,-0.51,-0.05309999999999998
0,0,20,24,10.833629608154297,1.0,33.12728812779372,0.0,0.38,-0.27,0.003400000000000014
0,0,21,14,16.350130081176758,1.0,51.99528922081739,0.0,0.31,-0.17,-0.0363
0,0,22,29,3.1620402336120605,1.0,22.30871885761783,4.8379597663879395,0.88,-0.25,-0.0011000000000000072
0,0,23,89,7.517806053161621,1.0,20.144039417965672,0.4821939468383789,0.82,-0.85,-0.034900000000000014
0,0,24,71,2.1728761196136475,-1.0,5.407012008620738,3.8271238803863525,0.09,-0.79,-0.6108
0,0,25,136,6.088951587677002,1.0,18.20786782792324,3.911048412322998,0.73,-0.57,0.008699999999999986
0,0,26,132,4.112130165100098,1.0,9.556584985471748,1.8878698348999023,0.64,-0.51,-0.0393
0,0,27,59,3.143460750579834,1.0,5.819517007272755,2.856539249420166,0.81,-0.52,0.008799999999999988
0,0,28,18,2.41025972366333,1.0,15.408019793134898,5.58974027633667,0.79,-0.17,0.3881
0,0,29,5,4.154505252838135,1.0,9.91807602446124,5.845494747161865,0.43,-0.02,0.06260000000000002
0,0,30,152,21.253679275512695,-1.0,47.878860041270336,0.0,-0.02,-0.06,-0.06319999999999992
0,0,31,145,4.434725761413574,-1.0,19.2952710833973,3.565274238586426,-0.27,-0.04,-0.06119999999999999
0,0,32,140,4.664436340332031,-1.0,17.05312211666844,1.3355636596679688,-0.04,-0.06,-0.012199999999999999
0,0,33,34,4.7959394454956055,-1.0,14.340984593908818,5.2040605545043945,0.35,-0.35,0.035
0,0,34,102,5.933610916137695,1.0,12.85632290997891,4.066389083862305,0.55,-0.48,-0.0658
0,0,35,93,2.429270029067993,-1.0,6.354587736280585,3.570729970932007,0.26,-0.91,-0.0702
