group_parameter_set_ID,group_log_beta0_mu,group_log_beta1_mu,group_log_beta2_mu,group_log_drift_mu,group_log_beta0_sigma,group_log_beta1_sigma,group_log_beta2_sigma,group_log_drift_sigma
0,1.420706840155597,1.3223560456401664,-0.8693303855114218,0.5173496509845718,0.7198482441589665,0.44993377186628014,0.667671167607408,0.36421895803790183
1,1.4411687580800645,1.3841414245955654,-0.8248395727366894,0.31860510949874327,0.8316994560028913,0.604200732480592,0.9961118694314612,0.3986146325271556
2,1.2771167000009132,1.4051923791516352,-0.7723453372957203,0.32409107535034176,0.34821957232919176,0.4661573759422195,0.6232206792158015,0.4925332066038767
3,1.4653410077337932,0.9917765204616971,-0.5864222599754396,0.3946525409038464,0.538918618845615,0.7597630971348868,0.9196369402534318,0.33314943039495076
4,1.137475492302037,1.2653919121798847,-0.7014793361174846,0.2766994790889489,0.5703233856646747,0.761467496815084,1.0253592131460094,0.5191503996058581
5,1.1884792200549292,1.6873141015000483,-0.7902045473079,0.3386628995609764,0.6380276677678349,0.7244524576542422,0.6859137616952654,0.5772235137791563
6,1.2372079938053753,1.1001450768572687,-0.6049469813391595,0.339130640426884,0.8055020152736185,0.28542219523292656,0.9909481609897246,0.3952294556975065
7,1.4075238931114789,1.2901124559029449,-0.5519987875691994,0.4790467974351849,0.7256005948594302,0.9393771120374601,0.49999612066482435,0.27338849573549756
8,1.453753798265815,1.4454394057471252,-1.0532620902668337,0.3041311894808314,0.7047550086219422,0.5208912457849215,0.7557329191427553,0.3383923240244865
9,1.3673759759183943,1.2604893143024463,-0.8201235624251505,0.3241332979821923,0.6869399525196829,0.4217040871522887,0.7663661977688178,0.35106364189259404
