group_parameter_set_ID,synthetic_par_ID,Round_ID,Gamble_ID,rt,response,repro_t,wt,diff_x,diff_p,diff_ev
0,0,0,133,2.2592201232910156,-1.0,15.336616234734006,7.740779876708984,0.33,-0.35,-0.044799999999999895
0,0,1,76,4.695755958557129,1.0,24.5841678395365,5.304244041442871,0.58,-0.72,0.02360000000000001
0,0,2,126,4.2253642082214355,1.0,26.54781810013992,5.7746357917785645,0.54,-0.68,-0.1448
0,0,3,14,2.2973077297210693,1.0,17.77402889902811,5.702692270278931,0.31,-0.17,-0.0363
0,0,4,128,0.8151185512542725,1.0,12.69882889742706,7.1848814487457275,0.76,-0.03,0.0089
0,0,5,134,2.1227681636810303,1.0,15.160598897416747,5.87723183631897,0.39,-0.28,0.1532
0,0,6,117,2.742461919784546,-1.0,20.910565037500714,5.257538080215454,0.27,-0.63,-0.26639999999999997
0,0,7,159,1.6141570806503296,-1.0,14.734245460467813,8.38584291934967,-0.06,-0.51,-0.33270000000000005
0,0,8,54,3.600687026977539,-1.0,20.0226005845597,4.399312973022461,0.36,-0.51,-0.009600000000000001
0,0,9,65,0.5174681544303894,-1.0,12.818358094961457,9.48253184556961,0.47,-0.69,-0.060900000000000024
0,0,10,38,1.9400851726531982,1.0,12.371245349852614,4.059914827346802,0.75,-0.39,0.3006
0,0,11,142,1.3339804410934448,-1.0,10.798881102706346,4.666019558906555,-0.15,-0.03,-0.03149999999999999
0,0,12,91,0.750275731086731,-1.0,10.529890132194899,9.249724268913269,0.01,-0.91,-0.8279000000000001
0,0,13,111,4.546205520629883,1.0,24.07787401489414,3.453794479370117,0.44,-0.24,-0.03999999999999998
0,0,14,52,0.8533111214637756,-1.0,17.480100439220294,9.146688878536224,0.14,-0.53,-0.2289
0,0,15,153,1.1813346147537231,-1.0,14.486964058311697,8.818665385246277,-0.26,-0.13,-0.2899
0,0,16,92,1.1613942384719849,-1.0,14.831753379484248,6.838605761528015,0.17,-0.92,-0.6538999999999999
0,0,17,19,0.7892584204673767,1.0,14.38445360647957,7.210741579532623,0.86,-0.16,0.18879999999999997
0,0,18,123,1.7008779048919678,-1.0,17.339596500077715,8.299122095108032,0.31,-0.35,-0.07549999999999996
0,0,19,59,1.726845622062683,1.0,13.471332525668895,4.273154377937317,0.81,-0.52,0.008799999999999988
0,0,20,129,1.4362949132919312,1.0,18.979967976243255,8.563705086708069,0.36,-0.29,-0.11700000000000002
0,0,21,41,0.8050905466079712,-1.0,12.236567807769639,9.194909453392029,0.04,-0.49,-0.4466
0,0,22,105,1.3341716527938843,-1.0,14.683277663361459,8.665828347206116,0.51,-0.91,-0.1787
0,0,23,23,1.1825215816497803,1.0,17.791752611986926,4.81747841835022,0.29,-0.27,0.0762
0,0,24,138,1.0185048580169678,-1.0,10.936385380845175,4.981495141983032,-0.34,-0.25,-0.2596
0,0,25,27,3.996612548828125,1.0,20.56124575840769,2.003387451171875,0.64,-0.29,-0.04869999999999999
0,0,26,95,1.5138561725616455,-1.0,11.566414450502997,8.486143827438354,0.42,-0.94,-0.3268
0,0,27,158,0.8518555164337158,-1.0,23.07609565040217,9.148144483566284,-0.36,-0.13,-0.2548
0,0,28,1,2.9659781455993652,-1.0,18.82025290628462,3.0340218544006348,0.05,-0.04,-0.0021999999999999993
0,0,29,154,0.9071632027626038,-1.0,18.08038016468362,9.092836797237396,-0.64,-0.03,-0.0413
0,0,30,127,1.5502804517745972,1.0,21.89093196898756,6.449719548225403,0.62,-0.11,0.13930000000000003
0,0,31,93,1.0885876417160034,-1.0,12.988739931160309,4.911412358283997,0.26,-0.91,-0.0702
0,0,32,100,0.9535821080207825,1.0,11.858568975961768,5.0464178919792175,0.96,-0.92,0.02
0,0,33,87,3.767857789993286,-1.0,22.296094256623846,4.232142210006714,0.64,-0.86,-0.09260000000000002
0,0,34,115,0.9423002600669861,1.0,12.833729475827651,5.057699739933014,0.91,-0.96,-0.030299999999999997
0,0,35,29,0.6847666501998901,1.0,11.345539789327798,7.31523334980011,0.88,-0.25,-0.0011000000000000072
0,0,36,60,2.3128020763397217,1.0,16.984734870074924,5.687197923660278,0.95,-0.57,-0.001899999999999999
0,0,37,89,3.1095476150512695,1.0,16.492626429472367,4.8904523849487305,0.82,-0.85,-0.034900000000000014
0,0,38,73,2.048081398010254,-1.0,12.500434639566123,5.951918601989746,0.25,-0.79,-0.0023999999999999994
0,0,39,18,0.9306918382644653,1.0,12.714298572709522,7.069308161735535,0.79,-0.17,0.3881
0,0,40,39,0.9243927597999573,1.0,12.722502942735453,9.075607240200043,0.81,-0.35,0.354
0,0,41,108,1.1471399068832397,1.0,18.636215001152873,6.85286009311676,0.74,-0.41,0.038099999999999995
0,0,42,69,0.8809938430786133,1.0,16.503052603811533,9.119006156921387,0.87,-0.69,0.21240000000000003
0,0,43,33,4.381381034851074,-1.0,24.60694007018507,5.618618965148926,0.26,-0.34,0.018799999999999983
0,0,44,49,1.628126621246338,1.0,14.118997996696777,6.371873378753662,0.88,-0.41,0.001799999999999996
0,0,45,47,1.550788164138794,1.0,13.666385226999099,8.449211835861206,0.62,-0.42,-0.031599999999999996
0,0,46,35,5.103964805603027,1.0,27.11795005175518,0.8960351943969727,0.44,-0.39,0.003500000000000003
0,0,47,136,7.281360149383545,1.0,24.943470667595346,2.718639850616455,0.73,-0.57,0.008699999999999986
0,0,48,151,0.7578061819076538,-1.0,13.266871785846602,7.242193818092346,-0.42,-0.34,-0.4116000000000001
0,0,49,101,2.4611401557922363,-1.0,26.497602538989646,5.538859844207764,0.29,-0.31,-0.16090000000000004
0,0,50,106,0.7024409174919128,1.0,11.603969430789098,7.297559082508087,0.91,-0.13,0.2405
0,0,51,84,1.0594367980957031,-1.0,15.281474758232012,8.940563201904297,0.34,-0.87,-0.4006
0,0,52,86,1.229632019996643,-1.0,12.947231957975363,4.770367980003357,0.57,-0.83,-0.09970000000000001
0,0,53,96,1.0255550146102905,-1.0,10.369417873569127,4.9744449853897095,0.56,-0.91,-0.11200000000000002
0,0,54,46,2.741121292114258,1.0,19.525694163259878,5.258878707885742,0.57,-0.44,-0.0913
