group_parameter_set_ID,group_log_beta0_mu,group_log_beta1_mu,group_log_beta2_mu,group_log_drift_mu,group_log_beta0_sigma,group_log_beta1_sigma,group_log_beta2_sigma,group_log_drift_sigma
0,1.5723489148885443,-1.1549700280350346,-0.7137364695574329,0.44529410962470656,0.8759649334632638,0.5721645220719309,0.857939743029376,0.4032794570769669
1,1.8102217119984179,-0.9525918598280753,-0.6161192282038205,0.46977479578494263,0.4460071944124762,0.5914727025447925,0.7140601209006907,0.32267951193030875
2,1.51390638303063,-0.8479862699516529,-0.8141330576854036,0.3761089675355462,0.6401733312954918,0.47571483370775053,0.8593494847601826,0.4178380594500174
3,1.1056141840759979,-0.8897401033160285,-0.609575588817812,0.36745122696071786,0.6834094306618398,0.6404901941006513,1.0854084398846184,0.39549805464625254
4,1.5063593021623651,-0.9009840170171927,-0.6645440693540675,0.382567716621517,0.7552760982075523,0.48995318049482456,0.7107919042292632,0.3921561441625605
5,1.4163154812748515,-0.9842427575940589,-0.6619399819389,0.37206077949264804,0.6987411895185951,0.7568742005248753,0.8628391554504687,0.34440204943011415
6,1.055691347009505,-1.148686321036832,-0.6931221599887919,0.44000161817857997,0.7361201848693442,0.5572984819625668,0.6711043050866884,0.4087215675140574
7,1.138854372870922,-1.1034982940969202,-0.8829054395809239,0.36881332491985985,0.8010980249051328,0.47838738419691346,0.8342877634124052,0.3140695032391462
8,1.4567977487048334,-1.0452993365932128,-1.0059160368950555,0.22745233074038176,1.0723054638415215,0.5482820462643347,0.7195480008533534,0.42763021382063005
9,1.2683008268285703,-0.7436612438248198,-0.6935882570757672,0.32513001462709257,0.9436305078749407,0.6012789418975022,1.0126955635335075,0.43218367340826325
10,1.3880759043169641,-0.9936500168384758,-0.8469539132347389,0.46505224468850176,0.6986370757271573,0.7062862109154386,0.7410537261729581,0.42682239756087803
11,1.2755458065394347,-1.2304662754977425,-0.7373709443017102,0.5132483843791955,0.7186960897071385,0.42116153518459765,0.7489210131829064,0.30004577891453943
12,1.5696352778378746,-0.9524790819880259,-0.6273660057507553,0.33453476654924674,0.8982085494103355,0.5525479211240288,0.7253533156198434,0.3111350743413249
13,1.1677154716558948,-1.0761979176502345,-0.6683559943435046,0.31848822519309583,0.783779295526547,0.6100287201326885,0.6310392173217475,0.38996490314399673
14,1.6175496585166642,-0.8943684287451372,-0.6583067880940637,0.5360544108003219,0.6235512411554167,0.5737365328844674,0.9500017309053677,0.31718578898157784
15,1.5161003645611135,-0.8212759664145851,-0.5771051833259474,0.3335803855469693,0.656641190078655,0.33088762910032765,0.599169859883812,0.49192295599726654
16,1.3308068040282195,-1.2601701885689462,-0.28874561972946927,0.437373152207962,0.7578715495635809,0.6647124796522216,0.770868153211944,0.3304320858600711
17,1.533532491201661,-1.0160213640198692,-0.6873994006793188,0.4344956443073462,0.7329724249292957,0.4610631383156514,0.8821288163984716,0.3458083435264125
18,1.5212567167814723,-0.9602044979655561,-0.971741165609018,0.4193435729579438,0.6050254288170533,0.456458886424054,1.1056146680784846,0.28873586070003043
19,0.9232750070661915,-1.11753813938232,-0.24401199113847538,0.4022506652427784,0.5146848144017796,0.40865864801782165,0.719916638428147,0.37961151908403634
20,1.11172371016426,-0.8758161306884082,-0.5694697647857905,0.47296817234207067,0.7573036361205624,0.6136356024320249,0.8531437067888182,0.43584151172493557
21,1.5036137083752876,-0.8975265268438647,-0.6625192102119903,0.3451299799698857,0.7936823204175402,0.6157533922819282,0.6399135065466498,0.41976919014313896
22,1.212875848599755,-1.2559832302599347,-0.438701889076858,0.32098801858810466,0.7272230675889328,0.4643818923795378,0.9112125781115025,0.4605261686507162
23,1.5153151776486755,-0.849686501411417,-0.9632591335778697,0.4692926110249651,0.7909927210951014,0.49724306239052657,0.8166633440312736,0.37707340777835674
24,1.1915510525281496,-0.9153651938599173,-0.8359834142849145,0.23622907987804936,0.8141428494964645,0.6610173443659751,0.8955814481277034,0.4243786647717381
25,1.5305897745116672,-0.7558650627206333,-0.6932284852316178,0.3287809236637184,0.891986263602977,0.4001800840642483,0.929197157965182,0.38676981839558305
26,1.3946008920342874,-1.001773600373325,-0.7735652338529498,0.3601454949878837,0.647441968474617,0.44873868770973635,0.48593665485271814,0.36520794145456903
27,1.3611588759210003,-1.0953139014220095,-0.5275713648395727,0.461368664936485,0.8175494846229567,0.7738549332780587,0.8341905715674858,0.4257622810781435
28,1.3570568853400633,-1.0064001488368286,-0.4704025461601218,0.3732154105615019,0.8048055614461648,0.5536243520662273,0.5453259156026934,0.430698893792153
29,1.2263870104573455,-1.1143109402149933,-0.8174913466226543,0.48555000432780016,0.8584956295809053,0.7083101090359244,0.7291722185448963,0.4068663475186021
