group_parameter_set_ID,group_log_beta0_mu,group_log_beta1_mu,group_log_beta2_mu,group_log_drift_mu,group_log_beta0_sigma,group_log_beta1_sigma,group_log_beta2_sigma,group_log_drift_sigma
0,1.5578963629325955,1.4617592998050721,-0.6950864144422415,0.36627795383765716,0.7914170731649414,0.37037304400078574,0.5349184364969727,0.36367892940437485
1,1.191863593793118,1.4018143353959582,-0.5971940667332856,0.3418546008826978,0.7961019209141066,0.3401818386667812,0.9731493990873157,0.5079525117784041
2,1.1879098999752549,1.1380334587717644,-1.0290249085829202,0.40007913901163217,0.5191829370379185,0.37643587758750807,0.8257503881076685,0.38314884642077196
3,1.2517447867926998,1.3657683945330479,-0.494310168125276,0.337071075796891,0.622389418298425,0.7334003318358431,1.0914000268092294,0.4228506302146172
4,1.3073240830191253,1.4124395271522905,-0.6057121667211238,0.5405003697357414,0.6227089388329347,0.5731260657086742,0.8836387475774623,0.32783379101328997
5,1.4478009164416967,1.1598971649397172,-0.7075198257141853,0.30580822013380893,0.5858557012106284,0.16708239934832925,0.7831649915964305,0.35027112582909525
6,1.3578093153078892,1.2367613948853136,-0.6917388512913882,0.44562741750163254,0.6392658572860094,0.5132255330026175,0.8594410932703859,0.34108137950933226
7,1.0837159500714333,0.9342969792941057,-0.4642659781686296,0.4687435250756429,0.7175015603204481,0.6024255172292727,1.1534372074569748,0.3208866911066944
8,1.4346836342925495,1.5358574043956303,-0.9213214312880885,0.4268397860094695,0.6191126951827082,0.7889102449305379,1.0320396306634412,0.40074346987069
9,1.250323928726687,1.4177582450242177,-0.7896355991584517,0.5151675643791506,0.6062589858914731,0.40862670157872333,0.7637587033257515,0.47736122233912687
