GambleNumber,lot_0_val,lot_0_prob,lot_0_ev,lot_1_val,lot_1_prob,lot_1_ev,dX,dP,dEV,AttributeCompetition,Deadline
1.0,8.0,6.0,0.48,13.0,2.0,0.26,-5.0,4.0,0.21999999999999997,1.0,8.0
2.0,21.0,9.0,1.89,33.0,8.0,2.64,-12.0,1.0,-0.7500000000000002,1.0,10.0
3.0,63.0,33.0,20.790000000000003,86.0,26.0,22.36,-23.0,7.0,-1.5699999999999967,1.0,10.0
4.0,32.0,92.0,29.44,67.0,89.0,59.63,-35.0,3.0,-30.19,1.0,8.0
5.0,31.0,18.0,5.58,74.0,16.0,11.84,-43.0,2.0,-6.26,1.0,12.0
6.0,45.0,6.0,2.6999999999999997,96.0,1.0,0.96,-51.0,5.0,1.7399999999999998,1.0,8.0
7.0,20.0,27.0,5.4,86.0,24.0,20.64,-66.0,3.0,-15.24,1.0,12.0
8.0,2.0,63.0,1.26,80.0,61.0,48.8,-78.0,2.0,-47.54,1.0,12.0
9.0,10.0,27.0,2.7,94.0,20.0,18.8,-84.0,7.0,-16.1,1.0,8.0
10.0,1.0,22.0,0.22,97.0,13.0,12.610000000000001,-96.0,9.0,-12.39,1.0,12.0
11.0,31.0,40.0,12.4,32.0,22.0,7.04,-1.0,18.0,5.36,1.0,8.0
12.0,33.0,36.0,11.879999999999999,51.0,18.0,9.18,-18.0,18.0,2.6999999999999993,1.0,12.0
13.0,50.0,24.0,12.0,72.0,9.0,6.4799999999999995,-22.0,15.0,5.5200000000000005,1.0,10.0
14.0,25.0,19.0,4.75,56.0,2.0,1.12,-31.0,17.0,3.63,1.0,10.0
15.0,46.0,18.0,8.28,91.0,2.0,1.82,-45.0,16.0,6.459999999999999,1.0,12.0
16.0,36.0,27.0,9.72,88.0,8.0,7.04,-52.0,19.0,2.6800000000000006,1.0,12.0
17.0,14.0,24.0,3.36,83.0,6.0,4.9799999999999995,-69.0,18.0,-1.6199999999999997,1.0,12.0
18.0,18.0,70.0,12.6,97.0,53.0,51.410000000000004,-79.0,17.0,-38.81,1.0,10.0
19.0,11.0,40.0,4.4,97.0,24.0,23.279999999999998,-86.0,16.0,-18.879999999999995,1.0,10.0
20.0,6.0,58.0,3.4799999999999995,97.0,41.0,39.769999999999996,-91.0,17.0,-36.29,1.0,10.0
21.0,31.0,62.0,19.22,35.0,35.0,12.25,-4.0,27.0,6.969999999999999,1.0,12.0
22.0,46.0,92.0,42.32,62.0,66.0,40.92,-16.0,26.0,1.3999999999999986,1.0,8.0
23.0,4.0,57.0,2.28,33.0,30.0,9.9,-29.0,27.0,-7.620000000000001,1.0,8.0
