GambleNumber,lot_0_val,lot_0_prob,lot_0_ev,lot_1_val,lot_1_prob,lot_1_ev,dX,dP,dEV,Deadline
1.0,65.0,53.0,34.45,59.0,2.0,1.18,6.0,51.0,33.27,6.0
2.0,32.0,99.0,31.68,81.0,10.0,8.1,-49.0,89.0,23.58,6.0
3.0,94.0,96.0,90.24,98.0,32.0,31.36,-4.0,64.0,58.88,6.0
4.0,32.0,99.0,31.68,84.0,3.0,2.52,-52.0,96.0,29.16,6.0
5.0,72.0,99.0,71.28,97.0,17.0,16.490000000000002,-25.0,82.0,54.79,6.0
6.0,63.0,81.0,51.03,21.0,47.0,9.87,42.0,34.0,41.16,6.0
7.0,33.0,66.0,21.78,96.0,1.0,0.96,-63.0,65.0,20.82,6.0
8.0,43.0,52.0,22.36,4.0,45.0,1.8,39.0,7.0,20.56,8.0
9.0,77.0,49.0,37.73,75.0,5.0,3.75,2.0,44.0,33.98,8.0
10.0,73.0,46.0,33.58,18.0,11.0,1.98,55.0,35.0,31.6,8.0
11.0,95.0,99.0,94.05,97.0,32.0,31.04,-2.0,67.0,63.01,8.0
12.0,89.0,99.0,88.11,90.0,18.0,16.2,-1.0,81.0,71.91,8.0
13.0,22.0,98.0,21.56,73.0,2.0,1.46,-51.0,96.0,20.1,8.0
14.0,57.0,99.0,56.43,90.0,1.0,0.9,-33.0,98.0,55.53,8.0
15.0,91.0,93.0,84.63000000000001,92.0,2.0,1.84,-1.0,91.0,82.79,10.0
16.0,21.0,98.0,20.58,94.0,1.0,0.94,-73.0,97.0,19.64,10.0
17.0,82.0,60.0,49.2,31.0,23.0,7.13,51.0,37.0,42.06999999999999,10.0
18.0,47.0,74.0,34.78,74.0,11.0,8.14,-27.0,63.0,26.64,10.0
19.0,49.0,75.0,36.75,96.0,4.0,3.84,-47.0,71.0,32.91,10.0
20.0,78.0,85.0,66.3,87.0,6.0,5.22,-9.0,79.0,61.08,10.0
21.0,82.0,82.0,67.24,94.0,1.0,0.94,-12.0,81.0,66.3,10.0
22.0,2.0,95.0,1.9,89.0,26.0,23.14,-87.0,69.0,-21.24,6.0
